帧,流量,密度,速度平均值,TPI,>10替换,差分
7885,32,13,6.503164394280232,6.775547614751145,6.775547614751145,0.29651366524501377
7886,32,13,6.704317393384095,6.479033949506131,6.479033949506131,-0.16243620068446685
7887,31,11,6.670371810305562,6.641470150190598,6.641470150190598,0.22370071502966926
7888,32,13,6.606007548519892,6.4177694351609285,6.4177694351609285,1.0019284019121129
7889,30,14,8.288442850022367,5.415841033248816,5.415841033248816,-0.9452182930687778
7890,29,12,7.245955690476331,6.361059326317593,6.361059326317593,0.2406883372636628
7891,27,14,8.028239228800585,6.120370989053931,6.120370989053931,-0.6764283410456748
7892,26,11,7.450716606677207,6.7967993300996055,6.7967993300996055,1.2962100642813148
7893,27,12,8.865492357664863,5.500589265818291,5.500589265818291,0.2705884528656757
7894,27,12,9.30056744698305,5.230000812952615,5.230000812952615,-0.29029533092498916
7895,28,11,8.539914510771652,5.520296143877604,5.520296143877604,1.1237562805595402
7896,28,12,10.77687314432628,4.396539863318064,4.396539863318064,-0.06274910931166833
7897,27,12,11.07412333053194,4.459288972629732,4.459288972629732,-0.5664776612069424
7898,27,11,9.850471867555282,5.025766633836675,5.025766633836675,-0.8627232690045874
7899,28,12,8.147452278561508,5.888489902841262,5.888489902841262,1.092207231701142
7900,29,14,9.72975736969514,4.79628267114012,4.79628267114012,0.6669450338290179
7901,29,13,11.35691867392939,4.129337637311102,4.129337637311102,-0.5403965685287586
7902,30,14,9.731698302574198,4.669734205839861,4.669734205839861,-0.34717397653775617
7903,30,13,9.08040448409519,5.016908182377617,5.016908182377617,1.0246015685958594
7904,30,13,11.43866718779107,3.9923066137817576,3.9923066137817576,-0.7603943825489092
7905,28,13,10.31994629695543,4.752700996330667,4.752700996330667,-0.7080206098694646
7906,27,11,9.337164206118109,5.460721606200131,5.460721606200131,-0.24119101683863065
7907,29,12,8.36581557433015,5.701912623038762,5.701912623038762,0.8992719118069861
7908,29,15,10.00407482057334,4.802640711231776,4.802640711231776,-0.9474960452815155
7909,28,13,8.674741922346675,5.7501367565132915,5.7501367565132915,0.2735802857309828
7910,28,12,9.129824601782598,5.476556470782309,5.476556470782309,-0.12796459273650918
7911,27,14,9.317874200196924,5.604521063518818,5.604521063518818,-0.41043058593211157
7912,27,13,8.743643450133714,6.014951649450929,6.014951649450929,-0.7763755197212605
7913,28,14,7.520095453986762,6.79132716917219,6.79132716917219,0.4025678210545207
7914,27,14,8.367319413777397,6.388759348117669,6.388759348117669,-0.18694313228594606
7915,28,14,7.875312856693554,6.575702480403615,6.575702480403615,0.28345461981220055
7916,28,14,8.267921206606719,6.292247860591415,6.292247860591415,1.102048014187373
7917,28,16,10.02346943535392,5.190199846404042,5.190199846404042,0.9846821543716926
7918,28,15,12.39867739509109,4.205517692032349,4.205517692032349,-0.6828878434069274
7919,28,15,10.6666390021939,4.888405535439277,4.888405535439277,1.0108181464084551
7920,28,18,13.44724229565073,3.8775873890308215,3.8775873890308215,-0.3133196566592651
7921,28,17,12.44190257010846,4.1909070456900865,4.1909070456900865,-0.23734702491435744
7922,28,18,11.77503736494952,4.428254070604444,4.428254070604444,0.22207485354274503
7923,27,15,12.85586545022408,4.206179217061699,4.206179217061699,0.15633670175822445
7924,28,17,12.96346704880842,4.0498425153034745,4.0498425153034745,-0.5479860909489442
7925,27,16,11.94874283269927,4.597828606252419,4.597828606252419,-0.31569245694964465
7926,26,16,11.68935610473752,4.913521063202063,4.913521063202063,-0.1810275042012508
7927,26,16,11.34948701646864,5.094548567403314,5.094548567403314,-0.5870720865831895
7928,25,16,10.65423706013533,5.681620653986504,5.681620653986504,0.6039577293888776
7929,25,18,12.00027143159802,5.077662924597626,5.077662924597626,0.021352862797063388
7930,25,18,12.15642749661168,5.056310061800563,5.056310061800563,-0.07001748882551162
7931,26,19,11.60424863602685,5.126327550626074,5.126327550626074,0.13155538491739183
7932,25,18,12.43967317666782,4.9947721657086825,4.9947721657086825,-0.27558543840158745
7933,25,17,11.81450507610828,5.27035760411027,5.27035760411027,0.2912173203005457
7934,25,18,12.5055055928298,4.979140283809724,4.979140283809724,-0.41112166331854283
